t	S	I	R
0.00	0.9900	0.0100	0.0000
1.00	0.9879	0.0110	0.0010
2.00	0.9857	0.0121	0.0022
3.00	0.9832	0.0134	0.0034
4.00	0.9805	0.0147	0.0048
5.00	0.9775	0.0162	0.0063
6.00	0.9743	0.0178	0.0079
7.00	0.9708	0.0196	0.0097
8.00	0.9669	0.0215	0.0116
9.00	0.9627	0.0236	0.0137
10.00	0.9582	0.0258	0.0160
11.00	0.9532	0.0283	0.0185
12.00	0.9478	0.0309	0.0213
13.00	0.9419	0.0338	0.0243
14.00	0.9356	0.0369	0.0275
15.00	0.9287	0.0402	0.0311
16.00	0.9213	0.0438	0.0349
17.00	0.9133	0.0476	0.0391
18.00	0.9048	0.0516	0.0436
19.00	0.8956	0.0559	0.0485
20.00	0.8858	0.0604	0.0538
21.00	0.8753	0.0652	0.0595
22.00	0.8642	0.0702	0.0656
23.00	0.8524	0.0754	0.0722
24.00	0.8400	0.0808	0.0792
25.00	0.8270	0.0863	0.0867
26.00	0.8133	0.0920	0.0947
27.00	0.7990	0.0978	0.1032
28.00	0.7841	0.1037	0.1121
29.00	0.7688	0.1096	0.1216
30.00	0.7529	0.1155	0.1316
31.00	0.7367	0.1213	0.1420
32.00	0.7201	0.1270	0.1530
33.00	0.7032	0.1325	0.1643
34.00	0.6861	0.1377	0.1761
35.00	0.6690	0.1427	0.1883
36.00	0.6517	0.1474	0.2008
37.00	0.6346	0.1517	0.2137
38.00	0.6175	0.1556	0.2269
39.00	0.6007	0.1591	0.2403
40.00	0.5841	0.1620	0.2538
41.00	0.5679	0.1646	0.2676
42.00	0.5521	0.1666	0.2814
43.00	0.5367	0.1681	0.2952
44.00	0.5218	0.1691	0.3091
45.00	0.5075	0.1696	0.3229
46.00	0.4938	0.1696	0.3365
47.00	0.4807	0.1692	0.3501
48.00	0.4682	0.1684	0.3634
49.00	0.4564	0.1671	0.3765
50.00	0.4452	0.1655	0.3893
51.00	0.4346	0.1636	0.4018
52.00	0.4247	0.1613	0.4140
53.00	0.4154	0.1587	0.4258
54.00	0.4068	0.1560	0.4373
55.00	0.3987	0.1530	0.4483
56.00	0.3913	0.1498	0.4589
57.00	0.3844	0.1465	0.4691
58.00	0.3781	0.1430	0.4789
59.00	0.3723	0.1395	0.4882
60.00	0.3670	0.1359	0.4971
61.00	0.3622	0.1323	0.5055
62.00	0.3579	0.1286	0.5135
63.00	0.3540	0.1250	0.5210
64.00	0.3506	0.1213	0.5281
65.00	0.3475	0.1177	0.5347
66.00	0.3449	0.1142	0.5410
67.00	0.3426	0.1107	0.5468
68.00	0.3406	0.1072	0.5522
69.00	0.3390	0.1038	0.5572
70.00	0.3376	0.1005	0.5619
71.00	0.3366	0.0973	0.5661
72.00	0.3358	0.0941	0.5700
73.00	0.3353	0.0911	0.5736
74.00	0.3350	0.0881	0.5768
75.00	0.3350	0.0853	0.5797
76.00	0.3352	0.0825	0.5823
77.00	0.3356	0.0798	0.5846
78.00	0.3361	0.0772	0.5866
79.00	0.3369	0.0747	0.5884
80.00	0.3378	0.0723	0.5898
81.00	0.3389	0.0700	0.5911
82.00	0.3401	0.0678	0.5921
83.00	0.3415	0.0657	0.5928
84.00	0.3430	0.0636	0.5934
85.00	0.3446	0.0617	0.5937
86.00	0.3463	0.0598	0.5938
87.00	0.3482	0.0580	0.5938
88.00	0.3501	0.0563	0.5936
89.00	0.3522	0.0546	0.5932
90.00	0.3543	0.0530	0.5927
91.00	0.3565	0.0515	0.5920
92.00	0.3588	0.0501	0.5911
93.00	0.3611	0.0487	0.5902
94.00	0.3635	0.0474	0.5891
95.00	0.3660	0.0461	0.5879
96.00	0.3685	0.0449	0.5866
97.00	0.3711	0.0437	0.5851
98.00	0.3737	0.0426	0.5836
99.00	0.3764	0.0416	0.5820
100.00	0.3791	0.0406	0.5803
101.00	0.3819	0.0396	0.5785
102.00	0.3846	0.0387	0.5767
103.00	0.3874	0.0378	0.5747
104.00	0.3903	0.0370	0.5727
105.00	0.3931	0.0362	0.5707
106.00	0.3960	0.0354	0.5686
107.00	0.3989	0.0347	0.5664
108.00	0.4018	0.0340	0.5642
109.00	0.4047	0.0334	0.5619
110.00	0.4076	0.0327	0.5596
111.00	0.4105	0.0322	0.5573
112.00	0.4135	0.0316	0.5549
113.00	0.4164	0.0311	0.5525
114.00	0.4194	0.0306	0.5501
115.00	0.4223	0.0301	0.5476
116.00	0.4252	0.0296	0.5452
117.00	0.4282	0.0292	0.5427
118.00	0.4311	0.0288	0.5401
119.00	0.4340	0.0284	0.5376
120.00	0.4369	0.0280	0.5351
121.00	0.4398	0.0277	0.5325
122.00	0.4427	0.0274	0.5300
123.00	0.4456	0.0270	0.5274
124.00	0.4484	0.0268	0.5248
125.00	0.4513	0.0265	0.5222
126.00	0.4541	0.0262	0.5197
127.00	0.4569	0.0260	0.5171
128.00	0.4597	0.0258	0.5145
129.00	0.4624	0.0256	0.5120
130.00	0.4652	0.0254	0.5094
131.00	0.4679	0.0252	0.5069
132.00	0.4706	0.0251	0.5043
133.00	0.4733	0.0249	0.5018
134.00	0.4759	0.0248	0.4993
135.00	0.4785	0.0247	0.4968
136.00	0.4811	0.0246	0.4943
137.00	0.4837	0.0245	0.4918
138.00	0.4862	0.0244	0.4893
139.00	0.4887	0.0244	0.4869
140.00	0.4912	0.0243	0.4845
141.00	0.4936	0.0243	0.4821
142.00	0.4960	0.0243	0.4797
143.00	0.4984	0.0242	0.4773
144.00	0.5008	0.0242	0.4750
145.00	0.5031	0.0243	0.4727
146.00	0.5053	0.0243	0.4704
147.00	0.5076	0.0243	0.4681
148.00	0.5098	0.0243	0.4659
149.00	0.5119	0.0244	0.4637
150.00	0.5140	0.0245	0.4615
151.00	0.5161	0.0245	0.4593
152.00	0.5182	0.0246	0.4572
153.00	0.5202	0.0247	0.4551
154.00	0.5221	0.0248	0.4530
155.00	0.5241	0.0249	0.4510
156.00	0.5259	0.0251	0.4490
157.00	0.5278	0.0252	0.4470
158.00	0.5296	0.0253	0.4451
159.00	0.5313	0.0255	0.4432
160.00	0.5330	0.0257	0.4413
161.00	0.5347	0.0258	0.4395
162.00	0.5363	0.0260	0.4377
163.00	0.5379	0.0262	0.4359
164.00	0.5394	0.0264	0.4342
165.00	0.5408	0.0266	0.4325
166.00	0.5423	0.0268	0.4309
167.00	0.5436	0.0271	0.4293
168.00	0.5450	0.0273	0.4277
169.00	0.5462	0.0276	0.4262
170.00	0.5475	0.0278	0.4247
171.00	0.5487	0.0281	0.4233
172.00	0.5498	0.0284	0.4219
173.00	0.5509	0.0287	0.4205
174.00	0.5519	0.0289	0.4192
175.00	0.5529	0.0293	0.4179
176.00	0.5538	0.0296	0.4167
177.00	0.5546	0.0299	0.4155
178.00	0.5555	0.0302	0.4143
179.00	0.5562	0.0306	0.4132
180.00	0.5569	0.0309	0.4122
181.00	0.5576	0.0313	0.4112
182.00	0.5582	0.0316	0.4102
183.00	0.5587	0.0320	0.4093
184.00	0.5592	0.0324	0.4084
185.00	0.5597	0.0328	0.4076
186.00	0.5600	0.0332	0.4068
187.00	0.5604	0.0336	0.4061
188.00	0.5607	0.0340	0.4054
189.00	0.5609	0.0344	0.4047
190.00	0.5610	0.0348	0.4042
191.00	0.5612	0.0352	0.4036
192.00	0.5612	0.0357	0.4031
193.00	0.5612	0.0361	0.4027
194.00	0.5612	0.0365	0.4023
195.00	0.5611	0.0370	0.4019
196.00	0.5609	0.0375	0.4016
197.00	0.5607	0.0379	0.4014
198.00	0.5604	0.0384	0.4012
199.00	0.5601	0.0388	0.4010
200.00	0.5598	0.0393	0.4009
201.00	0.5593	0.0398	0.4009
202.00	0.5589	0.0402	0.4009
203.00	0.5584	0.0407	0.4009
204.00	0.5578	0.0412	0.4010
205.00	0.5572	0.0417	0.4011
206.00	0.5566	0.0422	0.4013
207.00	0.5559	0.0426	0.4015
208.00	0.5551	0.0431	0.4018
209.00	0.5543	0.0436	0.4021
210.00	0.5535	0.0441	0.4025
211.00	0.5526	0.0445	0.4029
212.00	0.5517	0.0450	0.4033
213.00	0.5508	0.0455	0.4038
214.00	0.5498	0.0459	0.4043
215.00	0.5488	0.0464	0.4049
216.00	0.5477	0.0468	0.4055
217.00	0.5466	0.0473	0.4061
218.00	0.5455	0.0477	0.4068
219.00	0.5443	0.0481	0.4075
220.00	0.5432	0.0486	0.4083
221.00	0.5420	0.0490	0.4091
222.00	0.5407	0.0494	0.4099
223.00	0.5395	0.0498	0.4107
224.00	0.5382	0.0502	0.4116
225.00	0.5369	0.0505	0.4125
226.00	0.5356	0.0509	0.4135
227.00	0.5343	0.0513	0.4144
228.00	0.5329	0.0516	0.4154
229.00	0.5316	0.0519	0.4165
230.00	0.5302	0.0523	0.4175
231.00	0.5289	0.0526	0.4186
232.00	0.5275	0.0529	0.4196
233.00	0.5261	0.0532	0.4207
234.00	0.5247	0.0534	0.4219
235.00	0.5233	0.0537	0.4230
236.00	0.5219	0.0539	0.4241
237.00	0.5205	0.0542	0.4253
238.00	0.5192	0.0544	0.4265
239.00	0.5178	0.0546	0.4276
240.00	0.5164	0.0548	0.4288
241.00	0.5150	0.0549	0.4300
242.00	0.5137	0.0551	0.4312
243.00	0.5123	0.0552	0.4324
244.00	0.5110	0.0554	0.4336
245.00	0.5097	0.0555	0.4348
246.00	0.5084	0.0556	0.4360
247.00	0.5071	0.0557	0.4372
248.00	0.5058	0.0558	0.4384
249.00	0.5046	0.0558	0.4396
250.00	0.5034	0.0559	0.4408
251.00	0.5022	0.0559	0.4420
252.00	0.5010	0.0559	0.4431
253.00	0.4998	0.0559	0.4443
254.00	0.4987	0.0559	0.4454
255.00	0.4976	0.0559	0.4465
256.00	0.4965	0.0559	0.4477
257.00	0.4954	0.0558	0.4488
258.00	0.4944	0.0558	0.4499
259.00	0.4934	0.0557	0.4509
260.00	0.4924	0.0556	0.4520
261.00	0.4915	0.0555	0.4530
262.00	0.4906	0.0554	0.4540
263.00	0.4897	0.0553	0.4550
264.00	0.4888	0.0552	0.4560
265.00	0.4880	0.0551	0.4569
266.00	0.4872	0.0549	0.4579
267.00	0.4865	0.0548	0.4588
268.00	0.4857	0.0546	0.4596
269.00	0.4850	0.0545	0.4605
270.00	0.4844	0.0543	0.4613
271.00	0.4837	0.0541	0.4621
272.00	0.4831	0.0540	0.4629
