t	S	I	R
0.00	0.9900	0.0100	0.0000
1.00	0.9885	0.0105	0.0010
2.00	0.9869	0.0110	0.0021
3.00	0.9852	0.0116	0.0032
4.00	0.9835	0.0121	0.0044
5.00	0.9817	0.0127	0.0056
6.00	0.9798	0.0133	0.0069
7.00	0.9778	0.0139	0.0083
8.00	0.9757	0.0146	0.0097
9.00	0.9735	0.0153	0.0112
10.00	0.9712	0.0160	0.0128
11.00	0.9688	0.0168	0.0144
12.00	0.9663	0.0175	0.0161
13.00	0.9638	0.0183	0.0179
14.00	0.9611	0.0192	0.0198
15.00	0.9582	0.0200	0.0217
16.00	0.9553	0.0209	0.0238
17.00	0.9523	0.0218	0.0259
18.00	0.9491	0.0228	0.0281
19.00	0.9458	0.0238	0.0305
20.00	0.9424	0.0248	0.0329
21.00	0.9388	0.0258	0.0354
22.00	0.9351	0.0269	0.0380
23.00	0.9313	0.0280	0.0408
24.00	0.9273	0.0291	0.0436
25.00	0.9232	0.0302	0.0466
26.00	0.9189	0.0314	0.0496
27.00	0.9145	0.0326	0.0528
28.00	0.9100	0.0338	0.0562
29.00	0.9053	0.0351	0.0596
30.00	0.9005	0.0363	0.0632
31.00	0.8955	0.0376	0.0669
32.00	0.8904	0.0389	0.0707
33.00	0.8851	0.0402	0.0746
34.00	0.8797	0.0416	0.0787
35.00	0.8742	0.0429	0.0829
36.00	0.8685	0.0442	0.0873
37.00	0.8627	0.0456	0.0918
38.00	0.8567	0.0469	0.0964
39.00	0.8506	0.0482	0.1011
40.00	0.8444	0.0496	0.1060
41.00	0.8381	0.0509	0.1110
42.00	0.8316	0.0522	0.1162
43.00	0.8251	0.0535	0.1214
44.00	0.8184	0.0547	0.1268
45.00	0.8117	0.0560	0.1324
46.00	0.8048	0.0572	0.1380
47.00	0.7979	0.0583	0.1438
48.00	0.7909	0.0595	0.1497
49.00	0.7838	0.0605	0.1557
50.00	0.7766	0.0616	0.1618
51.00	0.7694	0.0626	0.1680
52.00	0.7622	0.0635	0.1743
53.00	0.7549	0.0644	0.1807
54.00	0.7476	0.0652	0.1872
55.00	0.7403	0.0660	0.1937
56.00	0.7330	0.0667	0.2003
57.00	0.7256	0.0673	0.2070
58.00	0.7183	0.0679	0.2138
59.00	0.7110	0.0684	0.2206
60.00	0.7037	0.0688	0.2275
61.00	0.6965	0.0692	0.2344
62.00	0.6893	0.0694	0.2413
63.00	0.6821	0.0696	0.2483
64.00	0.6750	0.0698	0.2552
65.00	0.6680	0.0698	0.2622
66.00	0.6610	0.0698	0.2692
67.00	0.6541	0.0697	0.2762
68.00	0.6473	0.0695	0.2831
69.00	0.6406	0.0693	0.2901
70.00	0.6340	0.0690	0.2970
71.00	0.6275	0.0686	0.3039
72.00	0.6211	0.0682	0.3107
73.00	0.6148	0.0677	0.3175
74.00	0.6086	0.0672	0.3243
75.00	0.6025	0.0666	0.3310
76.00	0.5965	0.0659	0.3376
77.00	0.5907	0.0652	0.3441
78.00	0.5850	0.0644	0.3506
79.00	0.5794	0.0636	0.3570
80.00	0.5739	0.0628	0.3634
