t	S	I	R
0.00	0.9900	0.0100	0.0000
1.00	0.9868	0.0121	0.0011
2.00	0.9828	0.0147	0.0024
3.00	0.9781	0.0179	0.0040
4.00	0.9724	0.0216	0.0060
5.00	0.9655	0.0261	0.0083
6.00	0.9573	0.0315	0.0112
7.00	0.9475	0.0379	0.0146
8.00	0.9359	0.0454	0.0187
9.00	0.9221	0.0542	0.0237
10.00	0.9060	0.0644	0.0295
11.00	0.8873	0.0762	0.0365
12.00	0.8657	0.0896	0.0447
13.00	0.8410	0.1047	0.0543
14.00	0.8132	0.1213	0.0655
15.00	0.7822	0.1394	0.0785
16.00	0.7481	0.1586	0.0933
17.00	0.7113	0.1786	0.1100
18.00	0.6723	0.1989	0.1288
19.00	0.6315	0.2189	0.1496
20.00	0.5897	0.2380	0.1723
21.00	0.5476	0.2555	0.1969
22.00	0.5059	0.2709	0.2232
23.00	0.4654	0.2837	0.2509
24.00	0.4267	0.2936	0.2797
25.00	0.3902	0.3004	0.3094
26.00	0.3562	0.3041	0.3397
27.00	0.3250	0.3049	0.3701
28.00	0.2965	0.3030	0.4005
29.00	0.2708	0.2986	0.4307
30.00	0.2477	0.2921	0.4602
31.00	0.2271	0.2839	0.4891
32.00	0.2087	0.2742	0.5171
33.00	0.1924	0.2636	0.5440
34.00	0.1780	0.2521	0.5699
35.00	0.1653	0.2402	0.5945
36.00	0.1540	0.2280	0.6180
37.00	0.1440	0.2157	0.6403
38.00	0.1352	0.2035	0.6613
39.00	0.1274	0.1915	0.6811
40.00	0.1204	0.1799	0.6997
41.00	0.1143	0.1686	0.7172
42.00	0.1088	0.1577	0.7335
43.00	0.1039	0.1473	0.7488
44.00	0.0995	0.1374	0.7631
45.00	0.0956	0.1280	0.7764
46.00	0.0921	0.1191	0.7888
47.00	0.0890	0.1107	0.8003
48.00	0.0862	0.1028	0.8111
49.00	0.0836	0.0954	0.8210
50.00	0.0814	0.0884	0.8302
51.00	0.0793	0.0820	0.8388
52.00	0.0774	0.0759	0.8467
53.00	0.0757	0.0702	0.8540
54.00	0.0742	0.0650	0.8608
55.00	0.0728	0.0601	0.8671
56.00	0.0716	0.0556	0.8729
57.00	0.0704	0.0513	0.8782
58.00	0.0694	0.0474	0.8832
59.00	0.0684	0.0438	0.8878
60.00	0.0676	0.0404	0.8920
61.00	0.0668	0.0373	0.8959
62.00	0.0661	0.0344	0.8995
63.00	0.0654	0.0318	0.9028
64.00	0.0648	0.0293	0.9059
65.00	0.0643	0.0270	0.9087
66.00	0.0638	0.0249	0.9113
67.00	0.0633	0.0230	0.9137
68.00	0.0629	0.0212	0.9159
69.00	0.0625	0.0195	0.9180
70.00	0.0622	0.0180	0.9199
71.00	0.0618	0.0166	0.9216
72.00	0.0615	0.0153	0.9232
73.00	0.0613	0.0141	0.9247
74.00	0.0610	0.0130	0.9260
75.00	0.0608	0.0119	0.9273
76.00	0.0606	0.0110	0.9284
