t	S	I	R
0.00	0.9900	0.0100	0.0000
1.00	0.9880	0.0110	0.0010
2.00	0.9858	0.0120	0.0022
3.00	0.9834	0.0132	0.0034
4.00	0.9808	0.0144	0.0048
5.00	0.9780	0.0158	0.0062
6.00	0.9749	0.0173	0.0079
7.00	0.9715	0.0189	0.0096
8.00	0.9678	0.0207	0.0115
9.00	0.9638	0.0225	0.0136
10.00	0.9595	0.0246	0.0159
11.00	0.9548	0.0268	0.0184
12.00	0.9498	0.0292	0.0211
13.00	0.9443	0.0318	0.0240
14.00	0.9384	0.0345	0.0271
15.00	0.9320	0.0374	0.0306
16.00	0.9251	0.0406	0.0343
17.00	0.9178	0.0439	0.0383
18.00	0.9099	0.0475	0.0427
19.00	0.9014	0.0512	0.0474
20.00	0.8924	0.0551	0.0524
21.00	0.8829	0.0593	0.0578
22.00	0.8727	0.0636	0.0637
23.00	0.8620	0.0681	0.0699
24.00	0.8507	0.0728	0.0765
25.00	0.8388	0.0776	0.0836
26.00	0.8263	0.0825	0.0912
27.00	0.8133	0.0875	0.0992
28.00	0.7998	0.0926	0.1076
29.00	0.7858	0.0977	0.1166
30.00	0.7713	0.1027	0.1260
31.00	0.7564	0.1078	0.1358
32.00	0.7412	0.1127	0.1461
33.00	0.7257	0.1175	0.1568
34.00	0.7099	0.1221	0.1680
35.00	0.6939	0.1266	0.1795
36.00	0.6778	0.1307	0.1915
37.00	0.6617	0.1346	0.2037
38.00	0.6456	0.1381	0.2163
39.00	0.6296	0.1412	0.2291
40.00	0.6138	0.1440	0.2422
41.00	0.5981	0.1464	0.2555
42.00	0.5827	0.1483	0.2689
43.00	0.5677	0.1499	0.2824
44.00	0.5530	0.1509	0.2960
45.00	0.5387	0.1516	0.3097
46.00	0.5249	0.1518	0.3232
47.00	0.5116	0.1516	0.3368
48.00	0.4987	0.1511	0.3502
49.00	0.4864	0.1501	0.3635
50.00	0.4746	0.1488	0.3766
51.00	0.4634	0.1471	0.3895
52.00	0.4527	0.1452	0.4021
53.00	0.4425	0.1430	0.4145
54.00	0.4329	0.1405	0.4266
55.00	0.4238	0.1378	0.4384
56.00	0.4152	0.1350	0.4498
57.00	0.4072	0.1319	0.4609
58.00	0.3996	0.1288	0.4716
59.00	0.3925	0.1255	0.4820
60.00	0.3859	0.1221	0.4920
61.00	0.3798	0.1187	0.5015
62.00	0.3740	0.1152	0.5107
63.00	0.3687	0.1118	0.5195
64.00	0.3638	0.1083	0.5279
65.00	0.3593	0.1048	0.5359
66.00	0.3551	0.1013	0.5435
67.00	0.3513	0.0979	0.5508
68.00	0.3478	0.0945	0.5577
69.00	0.3446	0.0912	0.5642
70.00	0.3418	0.0879	0.5703
71.00	0.3392	0.0847	0.5761
72.00	0.3368	0.0816	0.5815
73.00	0.3348	0.0786	0.5866
74.00	0.3329	0.0756	0.5914
75.00	0.3313	0.0728	0.5959
76.00	0.3300	0.0700	0.6000
77.00	0.3288	0.0673	0.6039
78.00	0.3278	0.0647	0.6075
79.00	0.3270	0.0622	0.6108
80.00	0.3264	0.0598	0.6139
81.00	0.3259	0.0574	0.6167
82.00	0.3256	0.0552	0.6192
83.00	0.3255	0.0530	0.6215
84.00	0.3254	0.0509	0.6236
85.00	0.3255	0.0489	0.6255
86.00	0.3258	0.0470	0.6272
87.00	0.3261	0.0452	0.6287
88.00	0.3266	0.0434	0.6300
89.00	0.3272	0.0417	0.6311
90.00	0.3279	0.0401	0.6320
91.00	0.3286	0.0386	0.6328
92.00	0.3295	0.0371	0.6334
93.00	0.3305	0.0357	0.6339
94.00	0.3315	0.0343	0.6342
95.00	0.3326	0.0330	0.6344
96.00	0.3338	0.0318	0.6345
97.00	0.3350	0.0306	0.6344
98.00	0.3363	0.0294	0.6343
99.00	0.3377	0.0283	0.6340
100.00	0.3391	0.0273	0.6336
101.00	0.3406	0.0263	0.6331
102.00	0.3421	0.0254	0.6326
103.00	0.3437	0.0244	0.6319
104.00	0.3453	0.0236	0.6311
105.00	0.3470	0.0227	0.6303
106.00	0.3487	0.0219	0.6294
107.00	0.3504	0.0212	0.6284
108.00	0.3522	0.0205	0.6274
109.00	0.3540	0.0198	0.6262
110.00	0.3558	0.0191	0.6251
111.00	0.3577	0.0185	0.6238
112.00	0.3596	0.0179	0.6225
113.00	0.3615	0.0173	0.6212
114.00	0.3635	0.0167	0.6198
115.00	0.3655	0.0162	0.6183
116.00	0.3675	0.0157	0.6168
117.00	0.3695	0.0152	0.6153
118.00	0.3715	0.0148	0.6137
119.00	0.3736	0.0143	0.6121
120.00	0.3756	0.0139	0.6105
121.00	0.3777	0.0135	0.6088
122.00	0.3798	0.0131	0.6071
123.00	0.3819	0.0127	0.6053
124.00	0.3841	0.0124	0.6036
125.00	0.3862	0.0120	0.6018
126.00	0.3883	0.0117	0.6000
