t	S	I
0.00	0.9900	0.0100
1.00	0.9895	0.0105
2.00	0.9890	0.0110
3.00	0.9884	0.0116
4.00	0.9879	0.0121
5.00	0.9873	0.0127
6.00	0.9867	0.0133
7.00	0.9860	0.0140
8.00	0.9853	0.0147
9.00	0.9846	0.0154
10.00	0.9838	0.0162
11.00	0.9831	0.0169
12.00	0.9822	0.0178
13.00	0.9814	0.0186
14.00	0.9805	0.0195
15.00	0.9795	0.0205
16.00	0.9786	0.0214
17.00	0.9775	0.0225
18.00	0.9765	0.0235
19.00	0.9754	0.0246
20.00	0.9742	0.0258
21.00	0.9730	0.0270
22.00	0.9717	0.0283
23.00	0.9704	0.0296
24.00	0.9690	0.0310
25.00	0.9676	0.0324
26.00	0.9661	0.0339
27.00	0.9646	0.0354
28.00	0.9630	0.0370
29.00	0.9613	0.0387
30.00	0.9595	0.0405
31.00	0.9577	0.0423
32.00	0.9559	0.0441
33.00	0.9539	0.0461
34.00	0.9519	0.0481
35.00	0.9498	0.0502
36.00	0.9476	0.0524
37.00	0.9454	0.0546
38.00	0.9431	0.0569
39.00	0.9407	0.0593
40.00	0.9382	0.0618
41.00	0.9356	0.0644
42.00	0.9330	0.0670
43.00	0.9303	0.0697
44.00	0.9275	0.0725
45.00	0.9246	0.0754
46.00	0.9217	0.0783
47.00	0.9187	0.0813
48.00	0.9155	0.0845
49.00	0.9124	0.0876
50.00	0.9091	0.0909
51.00	0.9058	0.0942
52.00	0.9023	0.0977
53.00	0.8989	0.1011
54.00	0.8953	0.1047
55.00	0.8917	0.1083
56.00	0.8880	0.1120
57.00	0.8843	0.1157
58.00	0.8805	0.1195
59.00	0.8766	0.1234
60.00	0.8727	0.1273
61.00	0.8687	0.1313
62.00	0.8647	0.1353
63.00	0.8607	0.1393
64.00	0.8566	0.1434
65.00	0.8525	0.1475
66.00	0.8484	0.1516
67.00	0.8443	0.1557
68.00	0.8401	0.1599
69.00	0.8360	0.1640
70.00	0.8318	0.1682
71.00	0.8276	0.1724
72.00	0.8235	0.1765
73.00	0.8193	0.1807
74.00	0.8152	0.1848
75.00	0.8111	0.1889
76.00	0.8070	0.1930
77.00	0.8030	0.1970
78.00	0.7989	0.2011
79.00	0.7950	0.2050
80.00	0.7911	0.2089
81.00	0.7872	0.2128
82.00	0.7834	0.2166
